Marcus Thornton,Washington Wizards,15.0,SF,29.0,200600.0
John Wall,Washington Wizards,2.0,PG,25.0,15851950.0
Darrell Arthur,Denver Nuggets,0.0,PF,28.0,2814000.0
D.J. Augustin,Denver Nuggets,12.0,PG,28.0,3000000.0
Will Barton,Denver Nuggets,5.0,SF,25.0,3533333.0
Wilson Chandler,Denver Nuggets,21.0,SF,29.0,10449438.0
Kenneth Faried,Denver Nuggets,35.0,PF,26.0,11235955.0
Danilo Gallinari,Denver Nuggets,8.0,SF,27.0,14000000.0
Gary Harris,Denver Nuggets,14.0,SG,21.0,1584480.0
Nikola Jokic,Denver Nuggets,15.0,C,21.0,1300000.0
Joffrey Lauvergne,Denver Nuggets,77.0,C,24.0,1709719.0
Mike Miller,Denver Nuggets,3.0,SG,36.0,947276.0
Emmanuel Mudiay,Denver Nuggets,0.0,PG,20.0,3102240.0
Jameer Nelson,Denver Nuggets,1.0,PG,34.0,4345000.0
Jusuf Nurkic,Denver Nuggets,23.0,C,21.0,1842000.0
JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,258489.0
Axel Toupane,Denver Nuggets,6.0,SG,23.0,
Nemanja Bjelica,Minnesota Timberwolves,88.0,PF,28.0,3950001.0
Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,1474440.0
Kevin Garnett,Minnesota Timberwolves,21.0,PF,40.0,8500000.0
Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,1282080.0
Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,2148360.0
Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,2056920.0
Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,1938840.0
